Code,Description
002,"Cost of direct materials:
The expenses incurred for direct materials identified in the Schedule may be billed in addition to the procedure code. These expenses are limited to the net acquisition cost of the materials and a handling fee. The price of the materials should be VAT inclusive. Use Modifier 8025 for handling fee."
003,Dental laboratory services:
005,"Procedure accompanied by unusual circumstances:
In exceptional cases where the proposed fee/benefit is disproportionately low in relation to the actual services rendered by a practitioner, such higher fee as may be mutually agreed upon between the dental practitioner and the patient/medical scheme may be billed. Use Modifier 8011 with a narrative description.	
Under certain circumstances a service or procedure is partially reduced or eliminated at the practitioner's election. Under these circumstances a lower fee may be billed. The service provided can be identified by its usual procedure code and the addition of Modifier 8012, signifying the service is reduced."
006,"The schedule does not prescribe the scope of practice of a particular category of Oral Health Care Provider; neither does it confine the performing of procedures or services to a registered speciality. Fees listed within a column of a particular category of Oral Health Care Provider are customary fees, should the procedure or service be rendered by that provider category.
Specialists are however encouraged to confine their practice to the speciality or related specialities in which they are registered. Specialist may charge fees for procedures or services which usually pertain to some other speciality, if such procedures or services are also recognised in their speciality, and if it is carried out only for their bona fide patients. Such fees shall not be higher than those charged by general practitioners for the same procedures or services (HPCSA, Rule 25).
Fees for procedures or services not listed within the column of dental therapists that do fall within the field of dental therapy in terms of their scope of practice are regarded as being “by arrangement” until such fees are listed."
007,Procedures not listed in the Dental Schedule
008,"Oral evaluations and completion of treatment plans:
Oral examinations include an examination, diagnosis and treatment planning (when treatment is required). No further fees/benefits shall be levied for an oral examination (code 8101) or comprehensive examination (code 8102) until the treatment plan resulting from these type of examinations is completed.
The completion of a treatment plan effected from an oral examination and/or comprehensive examination should be indicated by reporting code 8120 – Treatment plan completed.

Oral diagnosis defined.  The determination by the dentist of the oral health condition of an individual patient achieved through the evaluation of data gathered by means of history taking, direct examination, patient conference, and such clinical aids and tests as may be necessary in the judgement of the dentist.

Treatment plan defined.  The treatment plan is the sequential guide for the patient’s care as determined by the dentist’s diagnosis and is used by the dentists for the restoration and/or maintenance of optimal oral health"
009,Surgery guidelines:
nan,"1.	Follow-up care for therapeutic surgical procedures: The fee/benefit for an operation shall, unless otherwise stated, include normal post-operative care for a period not exceeding four months. If a practitioner does not him/herself complete the post-operative care, he/she shall arrange for post-operative care without additional charges. A fee/benefit for post-operative treatment of a prolonged or specialised nature may be charged as agreed upon between the practitioner and the scheme."
nan,"2.	Multiple Procedures (Maxillo-facial and oral surgery):  The fee/benefit for more than one operation or procedure performed through the same incision shall be determined as the fee for the major operation plus fee/benefit for the subsidiary operation to the indicated maximum for each such subsidiary operation or procedure (Modifier 8005). The fee/benefit for more than one operation or procedure performed under the same anaesthetic but through another incision shall be determined on the fee/benefit for the major operation plus: 75% for the second procedure/operation (Modifier 8009). 50% for the third and subsequent procedures/operations (Modifier 8006). This rule shall not apply where two or more unrelated operations are performed by practitioners in different specialities, in which case each practitioner shall be entitled to the full fee/benefit of the operation. If, within four months, a second operation for the same condition or injury is performed, the fee/benefit for the second operation shall be 50% of that of the first operation (Modifier 8006)."
nan,3.	Assistant Surgeon (Maxillo-facial and periodontal surgery): The fee payable to a specialist assistant is determined as 1/3 (of the fee of the practitioner performing the procedure (Modifier 8001). The fee payable to a general dental practitioner assistant is determined as 15% (of the fee of the practitioner performing the procedure (Modifier 8007). The patient must be informed beforehand that another dentist/specialist will be assisting at the operation and that a fee will be payable to the assistant. The assistant's name must appear on the invoice rendered to the patient.
nan,4.	Surgical team (Maxillo-facial and oral surgery): The additional fee to all members of the surgical team for after hours emergency surgery shall be calculated by adding 25% to the fee for the procedure or procedures performed (Modifier 8008).
010,Orthodontic guidelines:
